input,output
"Discoveries in science and technology are thought by ""untaught minds"" to come in blinding flashes or as the result of dramatic accidents. Sir Alexander Fleming did not, as legend would have it, look at themold ( ) on a piece of cheese and get the idea for penicillin there and then. He experimented with antibacterial substances for nine years before he made his discovery. Inventions and innovations almost always come out of tough trial and error. Innovation is like soccer; even the best players miss the goal and have their shots blocked much more frequently than they score.
     The point is that the players who score most are the ones who take most shots at the goal--and so it goes with innovation in any field of activity. The prime difference between innovation and others is one of approach. Everybody gets ideas, but innovators work consciously on theirs, and they follow them through until they prove practicable or otherwise. What ordinary people see as fanciful abstractions, professional innovators see as solid possibilities.
     ""Creative thinking may mean simply the realization that there's no particular goodness in doing things the way they have always been done."" Wrote Rudolph Flesch, a language authority. This accounts for our reaction to seemingly simple innovations like plastic garbage bags and suitcases on wheels that make life more convenient: ""How come nobody thought of that before?""
     The creative approach begins with the proposal that nothing be as it appears. Innovators will not accept that there is only one way to do anything. Faced with getting from A to B, the average person will automatically set out on the best-known and apparently simplest route. The innovator will search for alternate courses, which may prove easier in the long run and are sure to be more interesting and challenging even if they lead to dead ends. Highly creative individuals really do march to a different drummer.","{
  ""question"": ""L'expression \""marcher au rythme d'un autre tambour\"" (la dernière ligne du passage) suggère que les individus hautement créatifs sont  _  ."",
  ""options"": [
    ""peu disposés à suivre les façons courantes de faire les choses"",
    ""diligents dans la poursuite de leurs objectifs"",
    ""soucieux de l'avancement de la société"",
    ""dévoués au progrès de la science""
  ],
  ""answer"": ""A"",
  ""explanation"": ""L'expression « marcher au rythme d'un autre tambour » signifie que les individus hautement créatifs ne suivent pas la foule et sont disposés à explorer des voies différentes et nouvelles, plutôt que de se conformer aux méthodes traditionnelles.""
}"
"A man enters a store to buy milk. He walks out of the store with milk. That is all-- milk. At the same time, a woman enters the same grocery store also to buy milk. She buys it. But, she also buys chicken and lemons to make dinner that night. Then she remembers to buy food for her son to eat at school. She also gets a bottle of wine for drinks with friends and a birthday card for her husband's niece. Then she gets coffee for breakfast, ice cream for dessert and remembers stamps to mail the bills. And don't forget soap for the bathroom.
And that is the difference between the female and male brains simply explained in a grocery store. Generally speaking,men do one thing at a time. Women do many. Doing many things at one time is often called ""multi-tasking"", a very popular word these days.
Now scientific research supports this theory about male and female brains. A recent study has confirmed what we have known all along--men and women think differently.
Scientist at the university of Pennsylvania studied brain images of 949 people aged from 8 to 22 years old. They found that male brains have more connections on one side of the brain, or hemisphere. In female brain, they found more activity and connections between the right and left sides of the brain. The left side of the brain is known as the side of ""reason"" The right hemisphere is known as the ""creative"" side.
Regina Verma is a professor at the University of Pennsylvania. She co-wrote the report. She says when women are asked to do something difficult they might use different parts of the brain. Men, she adds, generally use just one side of the brain.
As a result, men generally deal directly with a problem. There is a strong connection between the ""understanding"" and the ""action"" parts of their brains. Women, however, might include other parts of the brain, like the part connected with reason and the part connected with sensitivity when solving a problem. Women take a less direct path to find a solution.
Dr. Venma warns that the study should not lead anyone to expect some behaviors from women and others from men.","{
""question"": ""Lorsqu'on lui demande de s'occuper d'un problème,   _   ."",
""options"": [""les hommes ont tendance à agir directement"", ""les femmes ont tendance à agir directement"", ""les femmes ont tendance à utiliser une seule partie du cerveau"", ""les hommes ont tendance à utiliser des parties connectées du cerveau""],
""answer"": ""A"",
""explanation"": ""L'étude a montré que les hommes utilisent généralement une seule partie du cerveau, qui est directement liée à l'action, pour résoudre un problème.""
}"
"My father always told me never to ever reveal my true opinions towards other people unless such opinions are positive. He said this is the ""Chu Shi Zhe Xue"", the philosophy of dealing with social network.
  It seems that everybody here just follows this philosophy very, very well.
 I would say that if I were given true friendship I would definitely treasure it with my greatest care. If I really regard someone as my close friend, I would never leave her alone whenever she's in need, either financially or mentally. And I always believe, as long as I treat people with whole-hearted honesty, I would have some rewards--at least, just ONE true friend of the same gender.
 Sometimes I just miss my friends in China. Perhaps when we became friends, we were still young, too young to have been polluted by any dirt in the society. But here, it is simply different. It seems that all of us have learned how to survive in a foreign land and such an experience actually makes us learn how to get the most benefits from the surroundings in order to survive.
 All are friends around me. I've looked through all the dark sides of their personalities and yet I have to pretend that I know nothing. I say to myself:They are good and we are friends"". And then I can make myself comfortable enough to talk to people I hate the most. And of course, they don't say any words truly from their hearts. Neither do I. 
However, sometimes I just feel unwilling to talk to these people. Sometimes, I just want to be alone, quietly, without being forced to listen to their gossip or other useless words.
""Standing on a mountain high
Looking at the moon through a clear blue sky
I should go and see some friends          
But they don't really comprehend""
    The singer expresses my feelings, too.","{
  ""question"": ""Que savons-nous du père de l'auteur d'après ce passage ?"",
  ""options"": [
    ""C'est vraiment un bon philosophe."",
    ""Il sait bien s'entendre avec les autres."",
    ""Il a dit à l'auteur de révéler ses véritables opinions."",
    ""Le passage ne le mentionne pas.""
  ],
  ""answer"": ""B"",
  ""explanation"": ""Le passage indique que le père de l'auteur lui a appris à ne pas révéler ses opinions négatives, ce qui suggère qu'il sait bien s'entendre avec les autres.""
}"
"Geneva  Tourist Guide
Universal compact app for iPhone 6 / iPhone 6 Plus / iPhone 5 / iPhone / iPod / iPad GENEVA TOURIST GUIDE with attractions, museums, restaurants, bars, hotels, theatres and shops with traveler reviews and ratings, pictures, rich travel information, prices and opening hours.
Discover what's on and places to visit in Geneva with our new cool app. It will guide you to top attractions and shopping malls, and tell you directions to hotels, bars, and restaurants. This is an all-in-one app for all the local attractions. Our travel guide to Geneva features up-to-date information on attractions, hotels, restaurants, shopping, nightlife, travel tips and more.
Highlights:
* Geneva Information -- Overview, climate, geography, history and travel
* Attractions -- Ancient sites, beaches, botanical gardens, coffee farms, museums, scenic drives, towns, waterfalls, religious and historical sites, etc.
* Hotels -- From luxury hotels to budget accommodations, including reviews, price comparison, address and more.
* Map -- It is an interactive map and get turn-by-turn driving directions. Find traffic details, road conditions, street maps, multi map, satellite photos, and aerial maps. Allow you to easily search and find local businesses with directions.
* Gallery -- Picture galleries of Geneva's most beautiful sights, interesting events, unusual occasions and more.
* POI Search -- Search everything at Geneva.
Enter any keyword or name to search. Find Name, address, distance, route map, call, and directions to every business location.
* Translator -- Supports 52 languages, Large text Translation.
* World Clock -- All major cities of the world (1000 Cities).","{
""question"": ""Le guide touristique de Genève fournit aux touristes toute l'aide suivante, sauf  _  ."",
""options"": [""découvrir les événements et les lieux à visiter à Genève"", ""guider les touristes vers les attractions et les centres commerciaux les plus populaires"", ""fournir les dernières informations sur les attractions de Genève"", ""aider les touristes à se faire des amis avec les habitants de Genève""],
""answer"": ""D"",
""explanation"": ""Le guide touristique de Genève ne mentionne pas d'aide pour se faire des amis avec les habitants de Genève. Il propose des informations sur les attractions, les hôtels, les restaurants, les magasins, la vie nocturne, les conseils de voyage et plus encore.""
}"
"You've probably grown accustomed to texting in the glow of a mobile phone screen. Well, there's some good and bad news coming for those of you who spend hours speedily tapping messages to one another. 
The good news is that the hours you spend face-to-phone are paying off. You may have become fluent in a second language. 
The bad news, however, is that this language is texting. Worse still, there isn't yet a texting section in your school exams, so you'll need to work harder to recover the grammar skills you might be killing with every LOL and BRB (Be right back). 
A new study confirms what many parents suspect. The more kids send and receive texts, the poorer their grammar skills become. 
With ""the culture of mobile communication--quick back and forth  , there are compromises on traditional, cultural writing"", said S. Shyam Sundar, professor of Pennsylvania State University, which conducted the study. 
""Techspeak"", as Sundar and his research partner Drew P. Cingel call it, has become so prevalent   among young users that it's changing their foundation of basic grammar. 
""Routine use of textual   adaptations by current and future generations of 13-to-17-year-olds may serve to create the impression that this is normal and accepted use of the language, ""they said in their published findings. 
It seems teenagers are unable to ""code  switch-shift"" between standard grammar and the abbreviations   used in text messages, Sundar said. These abbreviations have become the real words for them now. 
However, linguists   aren't particularly disturbed by the trend, Sundar added. ""The linguists will tell you the language is very dynamic. ""
Still, students have exams to worry about. Here's a sample  of the questions, so you can test yourself to see how texting has affected your grammar: 
*During the flood, we (dranked, drank, drunk, drunked) bottled water. 
*Fortunately, Jim's name was (accepted, excepted) from the list of those who would have to clean bathrooms because he was supposed to go downtown to (accept, except) a reward for the German Club. 
*The dress is so large that it is (lose, loose) on me when I wear it!","{
""question"": ""Avec l'échantillon de questions à la fin de l'article, l'auteur a l'intention de   _  ."",
""options"": [""amener les adolescents à accorder plus d'importance aux examens de grammaire"", ""donner quelques conseils utiles pour réussir un examen de grammaire"", ""amener les adolescents à découvrir dans quelle mesure le texto a affecté leur utilisation de la langue"", ""prouver que la routine de texto des adolescents est en train de changer leur compréhension de la grammaire de base""],
""answer"": ""C"",
""explanation"": ""L'auteur présente un exemple de questions de grammaire pour permettre aux adolescents de voir à quel point leur utilisation du texte a pu affecter leurs compétences en grammaire.""
}"
"A famous doctor once received a little child who was badly ill. Thanks to his skill and care, his young patient got well and was soon able to get up and run about again.
The child's mother was very much obliged to the doctor, and she called on him to thank him for what he had done for her child. ""Doctor,"" she said, ""you have saved my little son. I don't know how to thank you enough. I feel that money alone cannot repay you, so I have made this little purse with my own hands, as a sign of my gratitude. I hope you will accept it."" The doctor stood up and said coldly, ""Madam, a little present like that is very nice between friends, but a doctor needs to be paid properly for what he has done."" The lady was so surprised and hurt so much that she could not reply for a moment. Then she said quietly, ""Perhaps you will tell me how much your fee is?""
""Fifty pounds"", he answered.
The lady opened the little purse and took out four fifty-pound bank notes. She handed one of them to the doctor, and put the other three back into the purse. She put the purse into her handbag and, saying good bye to the doctor, went out of the room.","{
""question"": ""La dame était reconnaissante envers le médecin parce que   _  ."",
""options"": [""il lui avait sauvé la vie"", ""il avait sauvé la vie de son fils"", ""il lui avait prêté de l'argent"", ""il la visitait souvent""],
""answer"": ""B"",
""explanation"": ""Le texte explique que le médecin a sauvé le fils de la dame, qui était malade.""
} 
"
"Have you ever run into a careless cell phone user on the street? Perhaps they were busy talking, testing or checking updates on WeChat without looking at what was going on around them. As the number of this new ""species"" of human has kept rising, they have been given a new name -- phubbers  .
Recently, a cartoon created by students from China Central Academy of Fine Arts put this group of people under the spotlight. In the short film, phubbers with various social identities bury themselves in their phones. A doctor plays with his cell phone while letting his patient die, a pretty woman takes selfie in front of a car accident siteand a father loses his child without knowing about it while using his mobile phone. A chain of similar events eventually leads to the destruction of the world.
Although the ending sounds overstated, the damage phubbing can bring is real. Your health is the first to bear the effect and result of it. ""Constantly bending your head to check your cell phone could damage your neck,"" Guangming Daily quoted doctors as saying. ""The neck is like a rope that breaks after long-term stretching."" Also, staring at cell phones for long periods of time will damage your eyesight gradually, according to the report.
But that's not all. Being a phubber could also damage your social skills and drive you away from your friends and family. At reunions with family or friends, many people tend to stick to their cell phones while others are chatting happily with each other and this creates a strange atmosphere, Qilu Evening News reported.
It can also cost you your life. There have been lots of reports on phubbers who fell to their death, suffered accidents, and were robbed of their cell phones in broad daylight.","{
""question"": ""Lequel des éléments suivants N'EST PAS un risque pour un phubber ?"",
""options"": [""Ses compétences sociales pourraient être affectées."", ""Son cou et sa vue seront progressivement endommagés."", ""Il provoquera la destruction du monde."", ""Il pourrait être séparé de ses amis et de sa famille.""],
""answer"": ""C"",
""explanation"": ""Bien que le dessin animé présente un scénario exagéré où les phubbers finissent par détruire le monde, le texte souligne que les risques réels pour les phubbers incluent des dommages à leur cou et à leur vue, une dégradation de leurs compétences sociales et une séparation de leurs amis et de leur famille. La destruction du monde n'est pas un risque réel mentionné dans le texte.""
}"
"Naps--short sleeps during the day--may improve memory, experts said recently. 
New research conducted by brain researcher Avi Karni of the University of Haifa in Israel explores the possibility that naps help lock in sometimes long-term memories. ""We still don't know exactly how memory system works during sleep, but the results of this research suggest it is possible to speed up memory consolidation ,"" Karni said. Long-term memory refers  to memories that stay with us for years, such as ""what"" memories -- a car accident that happened yesterday-- or ""how to"" memories, such as one's learned ability to play the pianos.
Karni, also one of the authors of the study published in a recent issue of the journal Nature Neuroscience, instructed participants to learn a difficult set of finger games, then divided the study _ into two groups: one that napped for an hour, and one that didn't. The people who took an afternoon snooze showed obvious improvement in their performance by that evening.
""After a night's sleep the two groups were at the same level, but the group that slept in the afternoon improved much faster than the group that stayed awake,"" Karni said. And the study also showed just how much faster a 90-minute nap could help lock in long-term memories. ""Daytime sleep can shorten the time 'how to' memory weakens and forgetting starts,""Karni said, ""Instead of 6 to 8 hours, the brain consolidated the memory during the 90-minute nap.""","{
""question"": ""Le texte est probablement tiré de   _  ."",
""options"": [""un reportage de presse"", ""un guide de bibliothèque"", ""un manuel de projet"", ""un site scientifique""],
""answer"": ""D"",
""explanation"": ""Le texte mentionne des recherches scientifiques menées par un professeur de l'Université de Haïfa et publiées dans le journal Nature Neuroscience. Cela suggère que le texte provient d'un site scientifique.""
}"
"""NOW I just don't believe that. ""Surely all of us, at some point, have watched a movie and thought: It's simply badly researched,or the makers must think we're fools. Recently, The Daily Telegraph ran a humorous piece on untrue tech moments from some top movies. Let's see what they are all about.
Tom Chiver, the writer of The Daily Telegraph uses his first example from the movie Independence Day, in which a character comes up with a virus which destroys Windows the computer system the alien  spacecraft uses. ""It's a good thing that they didn't have Norton Anti-virus,"" jokes  Chivers.
It's just one case of a movie that takes a lot of license with its science. Another one Chivers mentions is from the movie Star Wars, where the glowing light beams  traveling through space look very impressive. But the problem is that in space there are no air particles  for the light to reflect off. In reality, they'd be invisible , which wouldn't look so cool on the big screen.
Most people think that the mind--bending Matrix films are made for great viewing. But for Chivers, the science in the movies is a little bit silly. He comments ""...the film is based on the idea that humans are kept alive as electricity generators  . This is not just unlikely --it's basically impossible. _ would need more energy to stay alive than they would produce. It's just like saying that you'll power the car with batteries, and keep the batteries charged by running a generator from the wheels. ""
And finally, as Chivers points out, DNA is not replaceable. But this bit of elementary genetics passed the makers of the 2002 Bond film Die Another Day by. In the film the bad guy has ""gene treatment"" to change his appearance and his DNA, which is completely impossible in our real world.","{
""question"": ""Lequel des énoncés suivants l'auteur approuve-t-il concernant le film Independence Day ?"",
""options"": [
""C'est un film de science-fiction."",
""Il s'agit du vaisseau spatial extraterrestre."",
""Il est produit par Tom Chiver."",
""Il est plaisant et humoristique.""
],
""answer"": ""A"",
""explanation"": ""L'auteur critique le film Independence Day pour son manque de réalisme scientifique, ce qui confirme qu'il s'agit bien d'un film de science-fiction.""
}"
"A king had a wonderful talent for growing flowers. He became old and didn't want to deal with big things anymore. So he began to look for someone to take his place. But who could he trust for the job? He thought for a while and got an idea. He would let the flowers decide. He gave everyone a little seed  . The one who could grow the most beautiful flower from the seed would be the next leader.
A girl called Serena was very beautiful and wanted to grow the most beautiful flower. She planted it in a nice pot and took great care of it, but nothing would grow.
The next year she saw everyone come to the palace with pots full of beautiful flowers. She was disappointed but also went to the meeting with her empty pot. The king looked through all the flowerpots and then stopped at hers.
""Why is your pot empty?"" he asked.
""Your Majesty  , I did everything to make it grow, but I have failed,"" she answered.
""No, you didn't,"" he said.
""You see, the seeds I've _ were all roasted  , so nothing could come out of them. I have no idea where all these flowers come from. But you have been honest and by being so, you will become my successor  .""","{
  ""question"": ""Le roi savait que ceux qui avaient des pots de belles fleurs _."",
  ""options"": [
    ""travaillaient dur"",
    ""l'ont trompé"",
    ""étaient gentils avec les plantes"",
    ""étaient doués pour faire pousser des fleurs""
  ],
  ""answer"": ""B"",
  ""explanation"": ""Le roi avait donné des graines grillées, donc les fleurs ne pouvaient pas pousser naturellement. Cela signifie que les personnes qui ont présenté des fleurs ont triché.""
}"
"Time never had any importance to me until I received a watch from my father that organized my life and made me more responsible.
I received this gift on a gray-sky day. I had to go to the airport at 9:00 a.m. to pick up my uncle Ali and take him to my father's house. However, I was late because I was hanging out with my friends. Later that day, around 11:00 a.m., I remembered my uncle, but I was very late. He had already left the airport and taken a taxi to my father's house.
I got to my father's house at 2:00 p.m. on the same day and looked at my angry father's face. I felt ashamed. After I said hi to my angry father and tired uncle, my father asked me to sit next to him and handed me this watch as a gift. Then he asked, ""Eric, did you have fun with your friends today?"" I answered, ""Yes, father, and I am sorry about not picking up my uncle."" He said, ""What you did was not very nice and you should be sorry for your actions."" I was ashamed. ""Father, I'll never do it again. I promise."" Then he replied, ""I hope today you learned something important, and this watch will be a reminder for you."" He told me to take this watch and use it as an organizer of my life.
I learned a very important lesson from my father that day: to respect time and never be late to meet someone. This watch is important to me, not because of its price, but because of the lesson that I learned from it.","{
""question"": ""D'après le passage, nous savons que _  ."",
""options"": [""Eric était avec ses amis jusqu'à 14h00 ce jour-là"", ""Oncle Ali s'était déjà rendu chez le père d'Eric"", ""Eric ne vivait pas avec son père"", ""Eric oubliait toujours les choses importantes""],
""answer"": ""C"",
""explanation"": ""Le texte mentionne qu'Eric est arrivé chez son père à 14h00. Il précise aussi que son père lui a donné une montre, ce qui implique qu'ils ne vivent pas ensemble. ""
}"
"Square Dance ABC is an exciting new way to practice square dancing.
Enjoy a fan, easy beginner's square dance, with no experience needed.
There are three different dances. The A, B and C dances can be experienced in any order. This is the main difference between Square Dance ABC and the traditional ""lesson-based"" way. You can do the three beginner's dances in any order.
Instead of waiting until a class starts once a year, people can start Square Dance ABC any time!
After all three dances (in an order), dancers have learned 22 square dance movements. The next step is the experienced ABC dance, using all 22 movements.
It is easy to convince people to try square dancing any time. Most people that try it will like it. Square Dance ABC will bring lots of opportunities  for fun, fitness and friends!
Come on, we'll make this project as easy as A-B-C!
If you have questions or comments about this site, please e-mail us at Webmaster@Square Dance ABC.com.","{
""question"": ""Qui pourrait être intéressé par ce site web ?"",
""options"": [""Des enfants qui sont doués en dessin."", ""Des adultes qui veulent voyager"", ""Des bénévoles qui veulent enseigner aux enfants"", ""Des gens qui veulent apprendre à danser.""],
""answer"": ""D"",
""explanation"": ""Square Dance ABC est une nouvelle méthode pour apprendre à danser en ligne. Le site est conçu pour les débutants et offre trois danses différentes que l'on peut apprendre dans n'importe quel ordre.""
}"
"Today, people all over the world are moving out of small villages in the country to go and live in big, noisy cities. They are moving from the peaceful hills, mountains, fields, rivers and streams of the countryside to the busy world of streets, buildings, traffic and crowds. This movement from rural  areas to urban areas has been going on for over two hundred years.
In many countries, the main reason people come to live in towns and cities is work. After one or two large factories have been built in or near a town, people come to find work, and soon an industrial area begins to grow. There is usually _ nearby, too. The families of these workers need schools, hospitals and shops, so many people come to live in the area to provide these services and a city grows.
In every major city in the world, there is a business district where the big companies have their main offices. In the United States, this area is usually in the city center downtown. It is here that you can see many huge skyscrapers and office blocks. The people who work here often travel a long way to work each day. Many of them live in the suburbs of the city, far away from the industrial area and the city center. Some suburbs are very pleasant, with nice houses and big gardens. There are usually parks for children to play in and large department stores where you can buy all you need.
But what is the future of the big cities? Will they continue to get bigger and bigger? Perhaps not. Some major cities have actually become smaller in the last ten years, and it is quite possible that one day we will see people moving out of the major cities and back into smaller towns and villages.","{
""question"": ""Laquelle des affirmations suivantes n'est PAS vraie concernant le quartier des affaires ?"",
""options"": [""Les grandes entreprises ont généralement leur siège social dans le quartier des affaires."", ""Les gens travaillent et vivent généralement dans le quartier des affaires."", ""Un quartier des affaires se trouve généralement dans le centre-ville."", ""Presque toutes les grandes villes ont leur propre quartier des affaires.""],
""answer"": ""B"",
""explanation"": ""Le texte indique que les gens qui travaillent dans le quartier des affaires vivent souvent dans les banlieues de la ville, loin de la zone industrielle et du centre-ville. Cela signifie que les gens ne vivent pas généralement dans le quartier des affaires.""
}"
"A woman named Emily renewing her driver's license at the County Clerk's office was asked to state her occupation. She hesitated, uncertain how to classify herself.
""What I mean is,"" explained the recorder, ""do you have a job, or are you just a ...""
""Of course I have a job,"" said Emily. ""I'm a mother.""
""We don't list 'mother' as an occupation... 'housewife' covers it,"" said the recorder.
One day I found myself in the same situation. The clerk was obviously a career woman, confident and possessed of a high sounding title. ""What is your occupation?"" she asked.
The words simply popped out. ""I'm a Research Associate in the field of Child Development and Human Relations.""
The clerk paused, ballpoint pen frozen in midair.
I repeated the title slowly, then I stared with wonder as my statement was written in bold, black ink on the official questionnaire.
""Might I ask,"" said the clerk with new interest, ""Just what you do in this field?""
Coolly, without any trace of panic in my voice, I heard myself reply, ""I have a continuing program of research (what mother doesn't), in the lab and in the field (normally I would have said indoors and out). Of course, the job is one of the most demanding in the humanities (any mother care to disagree?), and I often work 14 hours a day (24 is more like it). But the job is more challenging than most careers and rewards are more of a satisfaction rather than just money.""
There was an increasing note of respect in the clerk's voice as she completed the form, stood up, and showed me out.
As I drove into our driveway, buoyed up   by my glamorous new career, I was greeted by my lab assistants---ages 13, 7, and 3.
Upstairs I could hear our new experimental model (a 6 month old baby), in the child-development program, testing out a new vocal pattern.
I felt proud! I had gone on the official records as someone more distinguished and indispensable   to mankind than ""just another mother.""
Motherhood...What a glorious career! Especially when there's a title on the door.","{
  ""question"": ""Pourquoi la femme caissière a-t-elle montré plus de respect pour l'auteur ?"",
  ""options"": [
    ""Parce que l'auteur se souciait peu des récompenses."",
    ""Parce qu'elle pensait que l'auteur faisait un travail admirable."",
    ""Parce qu'elle admirait le travail de recherche de l'auteur en laboratoire."",
    ""Parce que l'écrivain a fait quelque chose qu'elle connaissait peu.""
  ],
  ""answer"": ""B"",
  ""explanation"": ""La caissière a montré plus de respect car elle a trouvé le travail de l'auteur admirable, comme le montre la phrase : « Il y avait une note croissante de respect dans la voix de la caissière lorsqu'elle a rempli le formulaire. »""
}"
"Once there was a king. He had two old ministers. One was kind and the other was bad. The bad minister often said bad words about the kind minister before the king. The king was very angry.
One day the king said to the bad minister, ""Write two words on two pieces of paper. Write 'live' on one piece and 'die' on the other. Then put them in a jar and tell him to choose. If he takes out the paper with 'live' on it, I'll let him go. If he takes out the paper with 'die' on it, I'll kill him at once. ""
The bad minister was quite happy. He got two pieces of paper ready. He wrote 'die' on each piece of paper.
The kind old man came. He knew the bad minister wanted to kill him. He also knew the words on the two pieces were both ""die"". But he knew what to do. Later the king had to keep his word and let the old minister go. Do you know what the kind man did about this at that time?
He chose a piece of paper and ate it, When they saw the word ""die"" on the other piece, the king and other ministers thought the word on the piece that the kind man had eaten must be ""live"", so he saved his own life by his cleverness .","{
""question"": ""Le ministre bienveillant   _   s'il choisissait le papier avec \""vivre\"" dessus."",
""options"": [""mourir"", ""vivre"", ""le rendre"", ""courir""],
""answer"": ""B"",
""explanation"": ""Le ministre bienveillant allait vivre s'il choisissait le papier avec \""vivre\"" dessus, car le roi avait promis de le laisser partir s'il tirait le papier avec \""vivre\"". ""
}"
"Restaurant Assistant manager
Waiting staff Telephonist
The ideal persons must have certain experience gained in a high quality hotel . Please call personnel on 071722--77333, or send your CV to :
prefix = st1 /Regents Park Hilton , Lodge Road,
London NW87 JTLONDON 
REGENTS PARK HILTON 
JOIN THE STARS ! FOOD SERVERS
The biggest and busiest restaurant in Londonis seeking additional stars for its team of devoted professionals . If you have experience in high volume restaurants and are looking for a challenge,  then come on down for an interview . Interview day is on Friday , 26th MAY from 12 noon to 7 p.m.
Planet Hollywoodis located at13 Coventry Street,London,WI
SECRETARY
Busy chartered lawyers require experienced / efficient secretary , accounts , typing experience and an excellent telephone manner ; essential shorthand useful .
Please send CV to : Box No. 9246 c/o evening standard classified , 2 Derry Street, Kensington W85EE.
USE YOUR LANGUAGES AND EARN
450-1200 P. W.
We are one of the largest business publishers , in Europe and have limited vacancies for intelligent young people in our Londonadvertisement sales office .
Enquiries from German , Spanish and eastern European speakers especially welcome .
Phone Andrew Warburton on 071-753-4300
NURSE WANTED
For 9-month-old boy . Artist/ Prof family Notting Hill .
3 days per week . Some extra hours possibly required .
Knowledge German / Hungarian advantage not must .
071-221-7375
TRAVEL COMPANY
Vacanfor self-confident person to look after booking for our Caribbean hotels .
Salary based on applicant's experience & suitability .
Please send CT to.
Lan Taplin , MRILTD, 9 Galena Road,London, WGOLX
Or telephone 071-721-43642","{
""question"": ""Si vous êtes un étudiant qui étudie à Londres et que vous recherchez un emploi à temps partiel, il est préférable de téléphoner à _."",
""options"": [""071-722-77333"", ""071-221-7375"", ""071-753-4300"", ""071-721-43642""],
""answer"": ""B"",
""explanation"": ""Le texte indique qu'une famille recherche une nounou pour un enfant de 9 mois, 3 jours par semaine, avec des heures supplémentaires possibles. Cela pourrait convenir à un étudiant à la recherche d'un emploi à temps partiel.""
}"
"This is What a REAL Silver Dollar Looks Like
If you trust in the yen, the euro, and the dollar... stop reading. Because this is a story about the silver coin EVERYBODY wants.
You read the headlines. You know that troubled economic times have put global currency on a rollercoasterride. But millions have found a smarter way to build long-term value with high-grade collectable silver. And right now, those people are lining up to secure some of the last 2012 U. S. Mint Silver Eagles, America's Newest Silver Eagle Dollars. Today, you can graduate to the front of that line. Buy now and you can own these brilliant uncirculated Silver Dollars for only $38.95!
You Can't Afford to Lose
Why are we releasing this silver dollar for such a remarkable price? Because we want to introduce you to what hundreds of thousands of smart collectors and satisfied customers have known since 1984--New York Mint is the place to find the world's finest hige-grade coins. That's why we're offering you this Brilliant Uncirculated 2012 U.S. Silver Eagle for as little as $37.45(plus s/h).
Timing is Everything
Our advice? Keep this to yourself. Because the more people who know about this offer, the worse it is for you. Demand for Silver Eagles in 2011 broke records. Experts predict that 2012 Silver Eagles may break them all over again. Due to rapid changes in the price of silver, prices may be higher or lower and are subject to change without notice. Supplies are limited. Call immediately to add these Silver Eagles to your holdings before it's too late.
Offer Limited to 40 per household 2012 American Silver Eagle Coin
Your cost  1-4 Coins          $38.95 each + s/h
5-9 Coins      $38.45each + s/h
10-19 Coins        $37. 95 each + s/h
20-40 Coins        $37.45 each + s/h
Note: $10 s/h (shipping and handling) for each purchaseFor fastest service, call toll-free 24 hours a day 1-888-201-7143   Offer Code ASE177-04  Please mention this code when you call.
New York Mint 14101 Southcross Drive W.,Dept. ASE177-04
Burnsville, Minnesota 55337
www. NewYorkMint. com","{
""question"": ""La publicité encourage fortement les gens à acheter les pièces d'argent en _ ."",
""options"": [""achetant en ligne"", ""en faisant un appel téléphonique"", ""en faisant la queue devant les magasins"", ""en écrivant à l'entreprise""],
""answer"": ""B"",
""explanation"": ""Le texte met en avant la possibilité d'appeler au numéro sans frais fourni pour commander les pièces d'argent, soulignant ainsi l'importance de passer un appel téléphonique pour acheter.""
}"
"Mr. and Mrs. Clark are 70 years old. They look young and they are very healthy. Why? Let me tell you. That's because they have a healthy lifestyle.
They exercise every day, and every morning they exercise in the park. After that they usually go to the supermarket. They walk there for about half an hour. They don't take buses. Because they think walking is good for their health. They often take a walk after dinner.
They also have a good eating habit. They drink milk every morning. They eat fruit and vegetables every day. As for meat, they only eat it twice a week. Besides (...) that, they never eat junk food. They don't drink coffee or cola at all. You see, they look after their health very well.
Mrs. Clark likes watching soap operas and reading books. She reads books every day. Mr. Clark likes Chinese paintings. They usually go to bed at 9:00 pm and sleep for eight hours every night.","{
""question"": ""Quel âge a Mme Clark ?"",
""options"": [""60"", ""65"", ""70"", ""75""],
""answer"": ""C"",
""explanation"": ""Le texte indique que M. et Mme Clark ont 70 ans.""
}
"
